2024-11-19 22:37:20,022 clip_ViT-B-16_train INFO: Log saved in- logs/protocol_1_ViT-B-16_2024-11-19 22:37:20
2024-11-19 22:37:20,022 clip_ViT-B-16_train INFO: Training cfgs- Namespace(aug_mix=0.6, backbone='ViT-B-16', batch_size=128, beta=0.1, checkpoint_period=60, classes=[1502, 11934, 1816, 1467], color_jitter=0.1, combine_all=True, data_path='/data/ReidShareDataset', device_id='1', epsilon=0.1, eval_period=10, gray_scale=0.1, image_encoder_epoch=60, image_encoder_lr=5e-06, lamda=0.01, log_path='logs', log_period=100, model='clip', num_instance=4, num_workers=8, omega=0.01, optimizer='Adam', pad=10, prior_epoch=3, prompt_domain_epoch=30, prompt_epoch=120, prompt_lr=0.00035, random_erasing=0.0, random_horizontal_flip=0.4, sampling_method='PK', size_train=[224, 224], train_datasets=['Market', 'cuhk_sysu', 'CUHK02', 'cuhk03'], weight_decay=0.0001)
2024-11-19 22:37:20,022 clip_ViT-B-16_train INFO: Running protocol- ['Market', 'cuhk_sysu', 'CUHK02', 'cuhk03']->['PRID', 'GRID', 'VIPeR', 'iLIDS']
2024-11-19 22:37:22,246 clip_ViT-B-16_train INFO: start stage-prior training
2024-11-19 22:38:42,713 clip_ViT-B-16_train INFO: STAGE2-Epoch[1] Iteration[100/761] Loss: 22.186, Base Lr: 9.50e-07
2024-11-19 22:39:54,178 clip_ViT-B-16_train INFO: STAGE2-Epoch[1] Iteration[200/761] Loss: 21.587, Base Lr: 9.50e-07
2024-11-19 22:41:09,780 clip_ViT-B-16_train INFO: STAGE2-Epoch[1] Iteration[300/761] Loss: 21.305, Base Lr: 9.50e-07
2024-11-19 22:42:35,988 clip_ViT-B-16_train INFO: STAGE2-Epoch[1] Iteration[400/761] Loss: 21.140, Base Lr: 9.50e-07
2024-11-19 22:44:08,649 clip_ViT-B-16_train INFO: STAGE2-Epoch[1] Iteration[500/761] Loss: 21.039, Base Lr: 9.50e-07
2024-11-19 22:45:47,425 clip_ViT-B-16_train INFO: STAGE2-Epoch[1] Iteration[600/761] Loss: 20.966, Base Lr: 9.50e-07
2024-11-19 22:46:53,969 clip_ViT-B-16_train INFO: STAGE2-Epoch[1] Iteration[700/761] Loss: 20.949, Base Lr: 9.50e-07
2024-11-19 22:47:50,559 clip_ViT-B-16_train INFO: STAGE2-Epoch[2] Iteration[100/761] Loss: 20.252, Base Lr: 1.40e-06
2024-11-19 22:48:30,367 clip_ViT-B-16_train INFO: STAGE2-Epoch[2] Iteration[200/761] Loss: 20.201, Base Lr: 1.40e-06
2024-11-19 22:49:10,274 clip_ViT-B-16_train INFO: STAGE2-Epoch[2] Iteration[300/761] Loss: 20.166, Base Lr: 1.40e-06
